index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
889,-18369,-14756,7121,1275
890,-2000,-1992,16259,1276
891,-12663,-11437,11727,1277
892,-12594,-11387,11773,1278
893,-25252,-16376,483,1279
894,15680,13393,9435,1280
895,20651,15604,4998,1281
896,9142,8672,13901,1282
897,-17605,-14408,7802,1283
898,-2999,-2981,16109,1284
899,-7949,-7640,14495,1285
900,4507,4448,15767,1286
901,7151,6924,14851,1287
902,-3896,-3860,15924,1288
903,-12863,-11584,11590,1289
904,17773,14488,7651,1290
905,-15482,-13279,9598,1291
906,-5935,-5804,15322,1292
907,-864,-860,16360,1293
908,-13527,-12045,11111,1294
909,3702,3672,15966,1295
910,3851,3816,15933,1296
911,25360,16376,380,1297
912,-10540,-9825,13104,1298
913,24601,16346,1130,1300
914,8144,7813,14398,1301
915,-11608,-10660,12440,1303
916,3393,3372,16030,1304
917,9563,9028,13668,1305
918,12594,11389,11778,1306
919,-23212,-16191,2514,1310
920,5477,5375,15475,1312
921,-168,-168,16382,1313
922,20803,15648,4856,1314
923,-11005,-10199,12827,1315
924,15383,13218,9677,1316
925,5511,5407,15465,1317
926,-7601,-7333,14654,1319
927,7032,6815,14899,1320
928,6222,6069,15220,1321
929,9150,8678,13897,1322
930,11372,10481,12593,1324
931,8193,7855,14378,1325
932,17415,14314,7967,1326
933,6601,6421,15074,1327
934,20764,15634,4894,1328
935,7532,7270,14683,1329
936,-9835,-9257,13518,1331
937,-3046,-3031,16103,1332
938,4096,4058,15872,1333
939,11960,10922,12212,1334
940,-21097,-15730,4577,1335
941,-10546,-9831,13102,1336
942,12738,11493,11676,1337
943,-16695,-13951,8587,1338
944,-18933,-14990,6608,1339
945,2028,2028,16256,1340
946,24268,16317,1466,1341
947,1588,1590,16305,1342
948,21283,15781,4398,1343
949,17010,14116,8317,1344
950,-12509,-11329,11837,1345
951,16712,13965,8568,1348
952,-934,-932,16358,1349
953,15776,13448,9357,1350
954,12691,11457,11710,1351
955,-8302,-7950,14327,1352
956,-19808,-15323,5798,1354
957,23826,16270,1908,1356
958,-18491,-14813,7015,1357
959,24012,16293,1720,1358
960,18537,14831,6966,1361
961,11541,10609,12487,1362
962,24704,16352,1032,1363
963,24051,16297,1684,1365
964,15678,13391,9437,1367
965,-6909,-6704,14950,1369
966,14962,12969,10012,1370
967,-25020,-16368,715,1371
968,1882,1878,16276,1373
969,-2327,-2319,16220,1375
970,8896,8464,14029,1378
971,8871,8440,14043,1379
972,4352,4304,15807,1380
973,16595,13901,8672,1383
974,22663,16096,3059,1384
975,-20159,-15445,5470,1385
976,-13701,-12160,10981,1386
977,-24448,-16329,1285,1387
978,19777,15313,5825,1390
979,3161,3141,16081,1391
980,21374,15805,4310,1393
981,-14342,-12579,10493,1394
982,-22482,-16063,3234,1395
983,16669,13939,8608,1397
984,21072,15724,4600,1399
985,-10182,-9543,13319,1400
986,-4720,-4656,15708,1401
987,-18541,-14831,6967,1402
988,22970,16153,2751,1404
989,-10070,-9449,13385,1405
990,-380,-380,16379,1406
991,-20733,-15626,4927,1407
992,19933,15365,5683,1410
993,-18753,-14919,6776,1411
994,-2386,-2379,16212,1412
995,8775,8355,14092,1413
996,12515,11333,11832,1414
997,22955,16151,2765,1417
998,-4163,-4120,15860,1418
999,12470,11299,11865,1419
1000,-17782,-14490,7642,1421
1001,-4381,-4326,15800,1422
1002,-20639,-15595,5014,1424
1003,-548,-544,16373,1426
1004,-4729,-4662,15704,1427
1005,23241,16195,2483,1429
1006,-24052,-16297,1681,1430
1007,-6664,-6480,15047,1431
1008,-2914,-2903,16127,1432
1009,23191,16185,2539,1434
1010,18296,14727,7184,1435
